DRL_Policy,Always_Primary,Always_NPCA
170.0,230.0,180.0
290.0,200.0,300.0
230.0,280.0,310.0
260.0,270.0,280.0
250.0,270.0,260.0
330.0,260.0,280.0
250.0,270.0,230.0
150.0,220.0,260.0
250.0,80.0,220.0
180.0,250.0,280.0
290.0,250.0,260.0
250.0,100.0,250.0
270.0,320.0,260.0
280.0,250.0,240.0
220.0,270.0,230.0
280.0,270.0,270.0
260.0,280.0,270.0
230.0,260.0,290.0
160.0,260.0,230.0
210.0,250.0,290.0
300.0,260.0,270.0
240.0,270.0,270.0
300.0,230.0,250.0
250.0,240.0,320.0
250.0,270.0,280.0
220.0,250.0,230.0
300.0,120.0,260.0
200.0,180.0,290.0
210.0,140.0,250.0
120.0,290.0,270.0
280.0,180.0,180.0
330.0,230.0,200.0
270.0,190.0,280.0
210.0,220.0,300.0
240.0,260.0,280.0
210.0,270.0,250.0
270.0,210.0,290.0
280.0,240.0,290.0
270.0,240.0,220.0
220.0,140.0,260.0
280.0,170.0,280.0
250.0,200.0,360.0
260.0,310.0,300.0
250.0,290.0,250.0
210.0,270.0,270.0
280.0,230.0,280.0
280.0,270.0,290.0
270.0,270.0,300.0
280.0,290.0,170.0
210.0,260.0,270.0
