OBSS Remaining (slots),Radio Transition Time,TX Duration (slots),CW Index,Action,Action_Name,Q_Primary,Q_NPCA,Q_Diff,OBSS_Category,OBSS_Binned
54,1,33,0,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),50-59
79,1,165,2,0,Stay Primary,0.7213996,-3.7913942,-4.512794,High (51-100),70-79
66,1,33,6,1,Go NPCA,-0.22163884,0.5792861,0.80092496,High (51-100),60-69
55,1,165,6,0,Stay Primary,0.89000195,-4.752256,-5.6422577,High (51-100),50-59
76,1,33,4,1,Go NPCA,-0.4600804,0.9345758,1.3946562,High (51-100),70-79
13,1,165,2,0,Stay Primary,1.0403745,-5.6092267,-6.649601,Low (11-30),10-19
21,1,33,3,0,Stay Primary,0.19681562,-0.8017987,-0.9986143,Low (11-30),20-29
39,1,33,6,0,Stay Primary,0.1492811,-0.53090036,-0.68018144,Medium (31-50),30-39
16,1,33,4,0,Stay Primary,0.23413329,-1.0144715,-1.2486048,Low (11-30),10-19
43,1,33,2,0,Stay Primary,0.077337794,-0.12089667,-0.19823447,Medium (31-50),40-49
59,1,33,3,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),50-59
28,1,33,3,0,Stay Primary,0.16298498,-0.60899854,-0.7719835,Low (11-30),20-29
8,1,33,4,0,Stay Primary,0.27279687,-1.2348145,-1.5076114,Very Low (0-10),0-9
83,1,33,5,1,Go NPCA,-0.70883256,1.3052287,2.0140612,High (51-100),80-89
88,1,33,1,1,Go NPCA,-0.72574943,1.3304356,2.056185,High (51-100),80-89
15,1,165,1,0,Stay Primary,1.0175557,-5.479183,-6.496739,Low (11-30),10-19
52,1,165,1,0,Stay Primary,0.8387365,-4.460095,-5.2988315,High (51-100),50-59
63,1,165,5,0,Stay Primary,0.8381854,-4.4569545,-5.29514,High (51-100),60-69
30,1,33,2,0,Stay Primary,0.14016616,-0.47895446,-0.6191206,Low (11-30),20-29
24,1,33,6,0,Stay Primary,0.22177541,-0.94404423,-1.1658196,Low (11-30),20-29
80,1,33,2,1,Go NPCA,-0.5145354,1.0157164,1.5302519,High (51-100),70-79
84,1,33,5,1,Go NPCA,-0.73949695,1.3509201,2.090417,High (51-100),80-89
3,1,33,0,0,Stay Primary,0.24435015,-1.0726973,-1.3170475,Very Low (0-10),0-9
74,1,165,1,0,Stay Primary,0.73241144,-3.8541508,-4.586562,High (51-100),70-79
25,1,33,5,0,Stay Primary,0.20378956,-0.8415431,-1.0453327,Low (11-30),20-29
64,1,33,5,1,Go NPCA,-0.12620863,0.4370904,0.56329906,High (51-100),60-69
12,1,33,1,0,Stay Primary,0.21400647,-0.89976907,-1.1137755,Low (11-30),10-19
64,1,165,5,0,Stay Primary,0.83335245,-4.4294114,-5.262764,High (51-100),60-69
22,1,165,1,0,Stay Primary,0.983725,-5.286382,-6.2701073,Low (11-30),20-29
32,1,33,3,0,Stay Primary,0.14365315,-0.4988267,-0.6424799,Medium (31-50),30-39
39,1,165,0,0,Stay Primary,0.88841194,-4.7431946,-5.6316066,Medium (31-50),30-39
7,1,33,6,0,Stay Primary,0.3039356,-1.4122735,-1.7162092,Very Low (0-10),0-9
30,1,165,5,0,Stay Primary,0.99767286,-5.3658705,-6.3635435,Low (11-30),20-29
46,1,165,3,0,Stay Primary,0.8940398,-4.7752676,-5.669307,Medium (31-50),40-49
26,1,165,3,0,Stay Primary,0.990699,-5.3261266,-6.3168254,Low (11-30),20-29
51,1,165,6,0,Stay Primary,0.9093337,-4.8624277,-5.7717614,High (51-100),50-59
95,1,33,2,1,Go NPCA,-0.9745016,1.7010887,2.6755903,High (51-100),90-99
32,1,33,0,0,Stay Primary,0.10419452,-0.2739527,-0.3781472,Medium (31-50),30-39
46,1,165,4,0,Stay Primary,0.9071927,-4.850226,-5.7574186,Medium (31-50),40-49
