episode,slot,sta_id,primary_channel_obss_occupied_remained,radio_transition_time,tx_duration,cw_index,action,epsilon,steps_done,reward,tau
198,175,1,149,1,33,0,1,0.8851708790514135,176,0.0,24
198,175,2,149,1,33,0,1,0.8850873661392236,177,0.0,24
198,175,3,149,1,33,0,0,0.8850038615779073,178,0.0,24
198,175,4,149,1,33,0,0,0.8849203653666297,179,0.0,24
198,175,5,149,1,33,0,0,0.8848368775045556,180,0.0,24
198,175,6,149,1,33,0,1,0.8847533979908504,181,0.0,24
198,175,7,149,1,33,0,1,0.8846699268246792,182,0.0,24
198,175,8,149,1,33,0,0,0.8845864640052074,183,0.0,24
198,175,9,149,1,33,0,0,0.8845030095316,184,0.0,24
204,106,0,149,1,33,0,1,0.8844195634030227,185,0.0,67
204,106,1,149,1,33,0,1,0.8843361256186413,186,0.0,93
204,106,2,149,1,33,0,0,0.8842526961776209,187,0.0,93
204,106,3,149,1,33,0,1,0.8841692750791277,188,0.0,93
204,106,4,149,1,33,0,0,0.884085862322327,189,0.0,93
204,106,5,149,1,33,0,0,0.8840024579063851,190,0.0,93
204,106,6,149,1,33,0,1,0.8839190618304678,191,0.0,93
204,106,7,149,1,33,0,1,0.883835674093741,192,0.0,93
204,106,8,149,1,33,0,0,0.8837522946953711,193,0.0,93
204,106,9,149,1,33,0,1,0.8836689236345241,194,0.0,93
214,36,3,116,1,33,1,1,0.8835855609103663,195,0.0,163
218,178,9,116,1,33,1,0,0.8835022065220641,196,0.0,21
222,1,0,149,1,33,0,1,0.883418860468784,197,0.0,186
222,1,1,149,1,33,0,0,0.8833355227496925,198,0.0,198
222,1,2,149,1,33,0,1,0.8832521933639563,199,0.0,198
222,1,3,149,1,33,0,1,0.883168872310742,200,0.0,150
222,1,4,149,1,33,0,0,0.8830855595892164,201,0.0,198
222,1,5,149,1,33,0,1,0.8830022551985465,202,0.0,69
222,1,6,149,1,33,0,0,0.8829189591378991,203,0.0,198
222,1,7,149,1,33,0,1,0.8828356714064413,204,0.0,198
222,1,8,149,1,33,0,0,0.8827523920033402,205,0.0,198
222,1,9,149,1,33,0,0,0.882669120927763,206,0.0,198
228,37,0,149,1,33,0,1,0.8825858581788771,207,0.0,162
228,37,1,149,1,33,0,0,0.8825026037558497,208,0.0,162
228,37,2,149,1,33,0,1,0.8824193576578484,209,0.0,162
228,37,3,149,1,33,0,0,0.8823361198840407,210,0.0,162
228,37,4,149,1,33,0,1,0.8822528904335941,211,0.0,162
228,37,5,149,1,33,0,0,0.8821696693056765,212,0.0,162
228,37,6,149,1,33,0,1,0.8820864564994556,213,0.0,104
228,37,7,149,1,33,0,0,0.8820032520140992,214,0.0,162
228,37,8,149,1,33,0,1,0.8819200558487755,215,0.0,162
228,37,9,149,1,33,0,0,0.8818368680026522,216,0.0,162
236,107,5,116,1,33,1,1,0.8817536884748977,217,0.0,92
238,140,6,116,1,33,1,0,0.8816705172646799,218,0.0,59
238,140,9,116,1,33,1,0,0.8815873543711675,219,0.0,59
243,103,0,116,1,33,1,0,0.8815041997935286,220,0.0,96
243,103,1,116,1,33,1,0,0.8814210535309316,221,0.0,96
251,141,0,149,1,33,0,1,0.8813379155825452,222,0.0,58
251,141,1,149,1,33,0,1,0.8812547859475379,223,0.0,58
251,141,2,149,1,33,0,1,0.8811716646250787,224,0.0,58
251,141,3,149,1,33,0,1,0.881088551614336,225,0.0,58
251,141,4,149,1,33,0,0,0.8810054469144788,226,0.0,58
251,141,5,149,1,33,0,0,0.880922350524676,227,0.0,58
251,141,6,149,1,33,0,1,0.8808392624440968,228,0.0,58
251,141,7,149,1,33,0,0,0.8807561826719104,229,0.0,58
251,141,8,149,1,33,0,0,0.8806731112072855,230,0.0,58
251,141,9,149,1,33,0,0,0.880590048049392,231,0.0,58
257,8,0,149,1,33,0,1,0.8805069931973988,232,0.0,183
257,8,1,149,1,33,0,0,0.8804239466504756,233,0.0,191
257,8,2,149,1,33,0,0,0.8803409084077919,234,0.0,191
257,8,3,149,1,33,0,1,0.8802578784685173,235,0.0,150
257,8,4,149,1,33,0,1,0.8801748568318215,236,0.0,191
257,8,5,149,1,33,0,1,0.8800918434968742,237,0.0,95
257,8,6,149,1,33,0,1,0.8800088384628454,238,0.0,191
257,8,7,149,1,33,0,1,0.879925841728905,239,0.0,129
257,8,8,149,1,33,0,0,0.879842853294223,240,0.0,191
257,8,9,149,1,33,0,1,0.8797598731579696,241,0.0,191
263,103,4,116,1,33,1,1,0.8796769013193148,242,0.0,96
271,142,0,149,1,33,0,0,0.8795939377774291,243,0.0,57
271,142,1,149,1,33,0,0,0.8795109825314827,244,0.0,57
271,142,2,149,1,33,0,0,0.8794280355806463,245,0.0,57
271,142,3,149,1,33,0,1,0.8793450969240901,246,0.0,57
271,142,4,149,1,33,0,1,0.879262166560985,247,0.0,57
271,142,5,149,1,33,0,1,0.8791792444905016,248,0.0,57
271,142,6,149,1,33,0,0,0.8790963307118106,249,0.0,57
271,142,7,149,1,33,0,1,0.8790134252240828,250,0.0,57
271,142,8,149,1,33,0,1,0.8789305280264894,251,0.0,57
271,142,9,149,1,33,0,0,0.8788476391182012,252,0.0,57
278,2,0,149,1,33,0,0,0.8787647584983894,253,0.0,184
